alias,USDA_symbol
ACAM,LOAM5
ACMO,ACMO2
ACMO2,ACMO2
ACWR,LOWR2
AG2,AGHE2
AGHE,URLI5
AGHE2,AGHE2
AGOSERIS2,AGHE2
AGRE,MIDO
AMME,AMME
ANAR,ANAR
ANFI,ANFI3
ANFI3,ANFI3
AVBA,AVBA
AVFA,AVFA
BOIN,BOIN3
BRDI,BRDI3
BRHO,BRHO2
BRMA,BRMA3
CACO,CACO35
CALYSTEGIA COLLINA,CACO35
CAPY,CAPY2
CARDUUS PYCNOCEPHALA,CAPY2
CEME,CEME2
CHGL,CHGL
CHLOROGALLUM POMERIDIANUM,CHPO3
CHPA,CHPA8
CHPO,CHPO3
CLAYTONIA,CLPE
CLBO,CLBO
CLPE,CLPE
CLPU,CLPU2
CRCO34,CRCO34
CROTON,CRSE11
CROTON SETIGERUS,CRSE11
DICA,DICA14
DODECATHEON,DOCL
DOHE,DOCL
DOCL,DOCL
ERBO,ERBO
ERCI,ERCI6
ERMO,ERMO7
ERSP,ERGR5
EUPE,EUSP
EUSP,EUSP
FEMI,FEMI2
GAAP,GAAP2
GECA,GECA5
GEDIS,GEDI
GILIA,GIOC
GIOC,GIOC
GIACM2,GIACM2
HECO,HECO7
HOMU,HOMU
LACA,LACA7
LAGOPHYLLA RAMOSISSIMA,LARA
LARA,LARA
LASE,LASE
LEBI,LEBI4
LEBO,LEBI4
LEPA,LEPA51
LEPTOSIPHON,LEPA51
LESP,LEPA51
LINANTHUS,LEPA51
LOGA2,LOGA2
LOCA,LOCA19
LOCA19,LOCA19
LOMN,LOPE
LOMU,LOPE
LOPU,LOAM5
LOST,LOST4
LOTUS2,LOST4
LOWR,LOWR2
LUBI,LUBI
MEPO,MEPO3
MICA,MICA
MICROSERIS,MIDO
MIDO,MIDO
MIEL,MIEL
NAAT,NAAT
NAJA,NAMI4
NAMI,NAMI4
NAPU,STPU2
NASSELLA,STPU2
PLER,PLER3
SACA,SACO6
SACO,SACO6
SIGA,SIGA
STME,STME2
THCU,THCU
THLA,THLA3
THYSANOCARPUS,THCU
TOAR,TOAR
TRAL,TRAL5
TRIFOLIUM,TRAL5
TRITELIEA,TRIX
TRLA,TRLA4
TRWI,TRWI3
URLI,URLI5
VIOLA,VIPE3
VIPE,VIPE3
VULPIA_MYUROS,FEMY2
VULPIA MYUROS,FEMY2
VUMI,FEMI2
VUMY,FEMY2
VULPIA,FEMY2
VUMA,FEMI2
STME2,STME2
ANFI3,ANFI3
RILE2,RILE2
ACMO2,ACMO2
GIACM2,GIACM2
ASGA,ASGA
MIDO3,MIDO3
LEPA51,LEPA51
ERGR5,ERGR5
GEDI,GEDI
TRLA4,TRLA4
