USDA_symbol,height,order
ACMO2,14,1
ACMO2,22,2
ACMO2,25,3
ACMO2,27,4
ACMO2,23,5
ACMO2,23,6
ACMO2,15,7
ACMO2,17,8
AGHE2,22,9
AGHE2,16,10
AGHE2,12,11
AGHE2,26,12
AGHE2,19,13
AGHE2,25,14
AGHE2,19,15
AGHE2,23,16
AGHE2,20,17
AGHE2,14,18
AGHE2,22,19
AGHE2,23,20
AGHE2,18,21
AGHE2,19,22
AGHE2,24,23
AGHE2,22,24
AGHE2,26,25
AGHE2,22,26
AGHE2,18,27
AGHE2,17,28
AGHE2,17,29
AGHE2,21,30
AGHE2,17,31
AGHE2,15,32
AGHE2,14,33
AGHE2,16,34
AGHE2,17,35
AGHE2,16,36
AGHE2,19,37
AGHE2,17,38
AGHE2,19,39
AGHE2,13,40
AGHE2,12,41
AGHE2,14,42
AGHE2,16,43
AGHE2,14,44
AGHE2,22,45
AGHE2,17,46
AGHE2,15,47
AGHE2,22,48
AVBA,61,49
AVBA,87,50
AVBA,49,51
AVBA,90,52
AVBA,102,53
AVBA,102,54
AVBA,67,55
AVBA,90,56
AVBA,83,57
AVBA,77,58
AVBA,72,59
AVBA,104,60
AVBA,102,61
AVBA,99,62
AVBA,61,63
AVBA,91,64
AVBA,89,65
AVBA,73,66
AVBA,90,67
AVBA,89,68
AVBA,101,69
AVBA,102,70
AVBA,115,71
AVBA,81,72
AVBA,82,73
AVBA,78,74
AVBA,87,75
AVBA,71,76
AVBA,107,77
AVBA,104,78
AVBA,106,79
AVBA,101,80
AVBA,73,81
AVBA,77,82
AVBA,77,83
AVBA,81,84
AVBA,65,85
AVBA,70,86
AVBA,57,87
AVBA,61,88
AVFA,93,89
AVFA,83,90
AVFA,83,91
AVFA,82,92
AVFA,93,93
AVFA,94,94
AVFA,112,95
AVFA,89,96
AVFA,110,97
AVFA,101,98
AVFA,94,99
AVFA,90,100
AVFA,94,101
AVFA,97,102
AVFA,81,103
AVFA,89,104
AVFA,71,105
AVFA,65,106
AVFA,77,107
AVFA,87,108
AVFA,104,109
AVFA,132,110
AVFA,131,111
AVFA,92,112
AVFA,91,113
AVFA,89,114
AVFA,89,115
AVFA,93,116
AVFA,91,117
AVFA,123,118
AVFA,91,119
AVFA,77,120
AVFA,85,121
AVFA,72,122
AVFA,61,123
AVFA,68,124
AVFA,65,125
AVFA,74,126
AVFA,63,127
AVFA,67,128
BOIN3,16,129
BOIN3,13,130
BOIN3,9,131
BOIN3,20,132
BOIN3,10,133
BOIN3,9,134
BOIN3,6,135
BOIN3,13,136
BOIN3,17,137
BOIN3,12,138
BOIN3,16,139
BOIN3,10,140
BOIN3,29,141
BOIN3,31,142
BOIN3,37,143
BOIN3,28,144
BOIN3,27,145
BOIN3,32,146
BOIN3,31,147
BOIN3,29,148
BOIN3,68,149
BOIN3,13,150
BOIN3,21,151
BOIN3,8,152
BOIN3,8,153
BOIN3,15,154
BOIN3,12,155
BOIN3,22,156
BOIN3,29,157
BOIN3,29,158
BOIN3,36,159
BOIN3,33,160
BOIN3,41,161
BOIN3,53,162
BOIN3,38,163
BOIN3,49,164
BOIN3,24,165
BOIN3,22,166
BOIN3,20,167
BOIN3,25,168
BRDI3,48,169
BRDI3,42,170
BRDI3,58,171
BRDI3,47,172
BRDI3,51,173
BRDI3,42,174
BRDI3,36,175
BRDI3,54,176
BRDI3,44,177
BRDI3,29,178
BRDI3,44,179
BRDI3,51,180
BRDI3,44,181
BRDI3,48,182
BRDI3,46,183
BRDI3,47,184
BRDI3,43,185
BRDI3,34,186
BRDI3,45,187
BRDI3,32,188
BRDI3,44,189
BRDI3,36,190
BRDI3,45,191
BRDI3,38,192
BRDI3,43,193
BRDI3,48,194
BRDI3,36,195
BRDI3,49,196
BRDI3,51,197
BRDI3,48,198
BRDI3,47,199
BRDI3,63,200
BRDI3,47,201
BRDI3,46,202
BRDI3,48,203
BRDI3,46,204
BRDI3,51,205
BRDI3,40,206
BRDI3,37,207
BRDI3,45,208
BRHO2,58,209
BRHO2,48,210
BRHO2,47,211
BRHO2,44,212
BRHO2,44,213
BRHO2,27,214
BRHO2,40,215
BRHO2,35,216
BRHO2,42,217
BRHO2,46,218
BRHO2,40,219
BRHO2,41,220
BRHO2,55,221
BRHO2,49,222
BRHO2,42,223
BRHO2,51,224
BRHO2,52,225
BRHO2,53,226
BRHO2,48,227
BRHO2,32,228
BRHO2,31,229
BRHO2,41,230
BRHO2,27,231
BRHO2,51,232
BRHO2,49,233
BRHO2,45,234
BRHO2,46,235
BRHO2,46,236
BRHO2,46,237
BRHO2,51,238
BRHO2,50,239
BRHO2,50,240
BRHO2,52,241
BRHO2,40,242
BRHO2,35,243
BRHO2,50,244
BRHO2,60,245
BRHO2,52,246
BRHO2,55,247
BRHO2,59,248
CACO35,15,249
CACO35,15,250
CACO35,13,251
CACO35,14,252
CACO35,20,253
CACO35,9,254
CACO35,10,255
CACO35,14,256
CACO35,23,257
CACO35,18,258
CACO35,10,259
CACO35,13,260
CACO35,17,261
CACO35,17,262
CACO35,10,263
CACO35,18,264
CACO35,15,265
CACO35,10,266
CACO35,11,267
CACO35,11,268
CACO35,19,269
CACO35,11,270
CACO35,8,271
CACO35,6,272
CACO35,4,273
CACO35,4,274
CACO35,4,275
CACO35,3,276
CACO35,4,277
CACO35,7,278
CACO35,11,279
CACO35,8,280
CACO35,7,281
CACO35,9,282
CACO35,9,283
CACO35,10,284
CACO35,9,285
CACO35,6,286
CACO35,5,287
CACO35,4,288
CAPY2,187,289
CAPY2,118,290
CAPY2,160,291
CAPY2,186,292
CAPY2,158,293
CAPY2,158,294
CAPY2,147,295
CAPY2,157,296
CAPY2,144,297
CAPY2,142,298
CAPY2,98,299
CAPY2,100,300
CAPY2,115,301
CAPY2,112,302
CAPY2,100,303
CAPY2,94,304
CAPY2,84,305
CAPY2,92,306
CAPY2,106,307
CAPY2,122,308
CAPY2,87,309
CAPY2,95,310
CAPY2,109,311
CAPY2,88,312
CAPY2,124,313
CAPY2,70,314
CAPY2,82,315
CAPY2,99,316
CAPY2,100,317
CAPY2,110,318
CAPY2,88,319
CAPY2,72,320
CAPY2,107,321
CAPY2,114,322
CAPY2,143,323
CAPY2,103,324
CAPY2,101,325
CAPY2,118,326
CAPY2,99,327
CAPY2,77,328
CHPA8,10,329
CHPA8,18,330
CHPA8,19,331
CHPA8,16,332
CHPA8,12,333
